text,hashtags,conclusi,percent
Intinya definisi radikal menurut liberalis dan kaum islamophobic adalah yg tdk sejalan dan dukung mukidi.modus saja… https://t.co/a2MFWL5wXo,,POSITIVE,69.20356154441833
"RT @RadenTV_com: 🏆Liga Champions
🆚Juventus vs Valencia
📆Rabu 28.10.18
⏲️03.00 WIB
📱https://t.co/Qxh8NPV1Qh
#JuveVFC #JuventusValencia https…","JuveVFC, JuventusValencia, ",POSITIVE,75.7904589176178
"RT @Futbool_Fotos: Gennaro Gattuso sorprendió el día de ayer a Anna, una abuelita de 100 años que ha apoyado al AC Milán en las buenas (15…",,POSITIVE,71.52454853057861
"RT @RadenTV_com: 🏆Liga Champions
🆚Juventus vs Valencia
📆Rabu 28.10.18
⏲️03.00 WIB
📱https://t.co/Qxh8NPV1Qh
#JuveVFC #JuventusValencia https…","JuveVFC, JuventusValencia, ",POSITIVE,75.7904589176178
"@ILCtv1 @Eggisudjana_ Sebagai Insan Akademis, penjelasannya juga sangat sistematis #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
"RT @putrabanten80: Jika Seseorang Tidak Bisa Menjelaskan Secara Sederhana,
Maka Bisa Jadi Seseorang Itu Belum Mengerti Sepenuhnya
~Albert E…",,POSITIVE,75.79905986785889
"RT @madxvxntx: Sobre a garota que mostrou os peitos no baile. 

Tove Lo 
Júlia Peixoto 
Rihanna 
Bella Hadid 
Rita Ora
ENTRE OUTRAS.

Que m…",,POSITIVE,75.50441026687622
"Kita kaum muslimin tetap harus semangat meramaikan masjid, jangan gara gara ,""penelitian yang tidak teliti"" ini men… https://t.co/eT7EPBcTga",,POSITIVE,76.68914198875427
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @ezzhasya: @Mirazrinaa both of them are pretty. jangan sampai bella hadid pula kata dia disappointed dengan rakyat malaysia punya attitu…,,POSITIVE,75.95505118370056
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"Así es Hannh Jaff ya tiene su propia colección de ropa, entre otros artículos y te decimos donde podrás comprarlos… https://t.co/msDKH6Vz7p",,POSITIVE,70.43084502220154
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",,POSITIVE,64.42682147026062
Bertaubat sebelum terlambat...istighfarlah pak,,POSITIVE,75.79905986785889
"Anggar jago, aslinya PAOK!

Memang cocoknya dirajam aja kelen satu satu. tak ada lagi malunya. Dikritik payah, Mera… https://t.co/LjRcHFusW9",,POSITIVE,75.82674622535706
